PassengerId,Survived,Pclass,Name,Sex,Age,Fare,Embarked
1,0,3,"Braund, Mr. Owen Harris",male,22.0,7.25,S
2,1,1,"Cumings, Mrs. John Bradley",female,38.0,71.2833,C
3,1,3,"Heikkinen, Miss. Laina",female,26.0,7.925,S
4,1,1,"Futrelle, Mrs. Jacques Heath",female,35.0,53.1,S
5,0,3,"Allen, Mr. William Henry",male,35.0,8.05,S
6,0,3,"Moran, Mr. James",male,,8.4583,Q
7,0,1,"McCarthy, Mr. Timothy J",male,54.0,51.8625,S
8,0,3,"Palsson, Master. Gosta",male,2.0,21.075,S
9,1,3,"Johnson, Mrs. Oscar",female,27.0,11.1333,S
10,1,2,"Nasser, Mrs. Nicholas",female,14.0,30.0708,C
